,winery,country_id,province_id
389,Prospect 772,2.0,7.0
390,Revello Fratelli,0.0,31.0
391,Gebeshuber,9.0,72.0
392,Tenuta La Marchesa,0.0,31.0
393,Trione,2.0,7.0
394,Vinos de Arganza,3.0,4.0
395,Walla Walla Vintners,2.0,18.0
396,Winzer Krems,9.0,73.0
397,Wölffer,2.0,29.0
398,Dunbar,2.0,7.0
399,Eschenhof Holzer,9.0,74.0
400,Fattorie Romeo del Castello,0.0,0.0
401,Flying Cloud,2.0,7.0
402,Gadais Père et Fils,4.0,75.0
403,André Brunel,4.0,48.0
404,Majolini,0.0,76.0
405,Montaudon,4.0,20.0
406,Montemercurio,0.0,27.0
407,Patrick Javillier,4.0,21.0
408,Philippe Fontaine,4.0,20.0
409,Pillitteri,17.0,77.0
410,Roederer Estate,2.0,7.0
411,Rusack,2.0,7.0
412,Bellavista,0.0,76.0
413,Chanoine,4.0,20.0
414,Chehalem,2.0,2.0
415,Henri de Villamont,4.0,21.0
416,Vollereaux,4.0,20.0
417,Wittmann,5.0,6.0
418,Valentina Cubi,0.0,43.0
419,Deutz,4.0,20.0
420,Domaine Serene,2.0,2.0
421,Dr. Loosen,5.0,8.0
422,H. Blin,4.0,20.0
423,Jeaunaux-Robin,4.0,20.0
424,Bell,2.0,7.0
425,Château Vray Croix de Gay,4.0,16.0
426,Dampierre,4.0,20.0
427,Santa Maria La Palma,0.0,0.0
428,Sparkman,2.0,18.0
429,Argiolas,0.0,0.0
430,Babcock,2.0,7.0
431,Cape View,10.0,32.0
432,Ken Forrester,10.0,44.0
433,Louis Bernard,4.0,48.0
434,Lyeth,2.0,7.0
435,Marco Cecchini,0.0,41.0
436,Vigneti Le Monde,0.0,41.0
437,V&N; Cellars,3.0,55.0
438,Winzer Krems,9.0,54.0
439,Zerba Cellars,2.0,18.0
440,Insania,2.0,18.0
441,Knapp,2.0,29.0
442,Lava Cap,2.0,7.0
443,Loess,3.0,4.0
444,MICA Cellars,2.0,7.0
